RN      Activ   Contenedor      Capacidad       Volumen         Hora                    Mean    STD
I       MECMUR  Vial            15              1.5             17/12/2020T11:03        0.5672  0.0012
I       MECMUR  Vial            15              1               17/12/2020T11:08        0.3416  0.0012
I       MECMUR  Vial            15              0.5             17/12/2020T11:00        0.2140  0.0004
I       MECMUR  JeringaR        10              5               17/12/2020T11:23        2.7200  0.0082
Tc	25PET	Jeringa		1		0.1		11/12/2020T13:44	0.355	0.0007
Tc	25PET	Jeringa		3		0.1		11/12/2020T13:46	0.343	0.0007
Tc	25PET	Jeringa		1		0.3		11/12/2020T13:47	0.548	0.0007
Tc	25PET	Jeringa		3		1.5		11/12/2020T13:50	2.03	0.0042
Tc	25PET	Jeringa		3		0.3		11/12/2020T13:51	0.560	0.0012
Tc	25PET	JeringaR	10		5		11/12/2020T13:52	4.64	0.0042
Tc	25PET	Jeringa		1		1		11/12/2020T13:54	1.222	0.0010
I	25PET	Vial		15		1.5		11/12/2020T14:09	0.902	0.0015
I	25PET	Vial		15		0.5		11/12/2020T14:10	0.336	0.0010
I	25PET	Vial 		15		1		11/12/2020T14:11	0.664	0.0008
I	25PET	Vial		1		0.1		11/12/2020T14:14	0.0886	0.0004
I	25PET	JeringaR	10		5		11/12/2020T14:15	3.90	0.0000
Lu	25PET	JeringaR	10		5		11/12/2020T13:57	0.230	0.0012
Lu	25PET	Vial		15		1		11/12/2020T13:58	0.0263	0.0006
Lu	25PET	Vial		15		10		11/12/2020T14:00	0.451	0.0013
Lu	25PET	Vial		15		5		11/12/2020T14:01	0.250	0.0013
Lu	25PET	Vial		1		0.1		11/12/2020T14:03	0.0137	0.0006
Lu	25PET	Jeringa		50		25		11/12/2020T14:05	1.020	0.0015
Lu	25PET	Jeringa		50		50		11/12/2020T14:06	1.897	0.0124
I	15R	JeringaR	10		5		11/12/2020T15:51	3.86	0.0042
I	15R	Vial		15		1.5		11/12/2020T15:52	0.855	0.0013
I	15R	Vial 		15		1		11/12/2020T15:54	0.628	0.0011
I	15R	Vial		1		0.1		11/12/2020T15:55	0.0832	0.0002
I	15R	Vial		15		0.5		11/12/2020T16:49	0.3194	0.0007
Lu	15R	Vial		15		10		11/12/2020T15:40	0.671	0.0016
Lu	15R	Vial		15		1		11/12/2020T15:41	0.0333	0.0005
Lu	15R	Vial		15		5		11/12/2020T15:42	0.367	0.0010
Lu	15R	Vial		1		0.1		11/12/2020T15:45	0.01406	0.0006
Lu	15R	Jeringa		50		25		11/12/2020T15:46	1.675	0.0029
Lu	15R	Jeringa		50		50		11/12/2020T15:47	3.42	0.0042
Lu	15R	JeringaR	10		5		11/12/2020T15:49	0.364	0.0007
Tc	15R	Jeringa		3		1.5		11/12/2020T15:27	1.76	0.0000
Tc	15R	Jeringa		3		0.3		11/12/2020T15:29	0.462	0.0005
Tc	15R	Jeringa		3		0.1		11/12/2020T15:30	0.287	0.0005
Tc	15R	JeringaR	10		5		11/12/2020T15:31	3.94	0.0000
Tc	15R	Jeringa		1		1		11/12/2020T15:32	1.08	0.0032
Tc	15R	Jeringa		1		0.3		11/12/2020T15:35	0.455	0.0020
Tc	15R	Jeringa		1		0.1		11/12/2020T15:36	0.287	0.0007
I	55TRRF	Vial 		15		1		11/12/2020T16:21	0.6294	0.0002
I	55TRRF	Vial 		1		0.1		11/12/2020T16:22	0.08127	0.0001
I	55TRRF	Vial		15		1.5		11/12/2020T16:23	0.8502	0.0004
I	55TRRF	JeringaR	10		5		11/12/2020T16:26	3.846	0.0031
I	55TRRF	Vial		15		0.5		11/12/2020T16:51	0.314	0.0003
Lu	55TRRF	Jeringa		50		50		11/12/2020T16:13	3.338	0.0012
Lu	55TRRF	Jeringa		50		25		11/12/2020T16:14	1.604	0.0014
Lu	55TRRF	Vial		15		10		11/12/2020T16:16	0.6384	0.0003
Lu	55TRRF	Vial		15		5		11/12/2020T16:17	0.3461	0.0002
Lu	55TRRF	Vial		15		1		11/12/2020T16:18	0.0270	0.0002
Lu	55TRRF	Vial		1		0.1		11/12/2020T16:20	0.00850	0.0001
Lu	55TRRF	JeringaR	10		5		11/12/2020T16:27	0.3457	0.0005
Tc	55TRRF	Jeringa		3		1.5		11/12/2020T16:00	1.683	0.0005
Tc	55TRRF	JeringaR	10		5		11/12/2020T16:02	3.77	0.0042
Tc	55TRRF	Jeringa		3		0.1		11/12/2020T16:04	0.2696	0.0002
Tc	55TRRF	Jeringa		3		0.3		11/12/2020T16:05	0.4467	0.0005
Tc	55TRRF	Jeringa		1		1		11/12/2020T16:06	1.044	0.0007
Tc	55TRRF	Jeringa		1		0.3		11/12/2020T16:07	0.4311	0.0001
Tc	55TRRF	Jeringa		1		0.1		11/12/2020T16:08	0.2688	0.0003
Tc	55TRRF	Vial		1		0.1		11/12/2020T16:10	0.2731	0.0001
I	55TRMN	Vial		15		0.5		11/12/2020T14:48	0.3209	0.0004
I	55TRMN	JeringaR	10		5		11/12/2020T14:49	3.850	0.0005
I	55TRMN	Vial		15		1.5		11/12/2020T14:51	0.3630	0.0006
I	55TRMN	Vial 		15		1		11/12/2020T14:52	0.6377	0.0003
I	55TRMN	Vial		1		0.1		11/12/2020T14:54	0.08423	0.0001	
Lu	55TRMN	JeringaR	10		5		11/12/2020T14:37	0.317	0.0005
Lu	55TRMN	Jeringa		50		50		11/12/2020T14:39	2.935	0.0162
Lu	55TRMN	Jeringa		50		25		11/12/2020T14:41	1.467	0.0081
Lu	55TRMN	Vial		15		5		11/12/2020T14:42	0.3308	0.0002
Lu	55TRMN	Vial		15		10		11/12/2020T14:43	0.6002	0.0002
Lu	55TRMN	Vial		15		1		11/12/2020T14:44	0.0336	0.0002
Lu	55TRMN	Vial		1		0.1		11/12/2020T14:45	0.01612	0.0001
Tc	55TRMN	Jeringa		1		0.3		11/12/2020T14:24	0.5201	0.0004
Tc	55TRMN	Jeringa		3		0.1		11/12/2020T14:25	0.3224	0.0002
Tc	55TRMN	Jeringa		3		1.5		11/12/2020T14:27	1.937	0.0011
Tc	55TRMN	Jeringa		3		0.3		11/12/2020T14:29	0.5280	0.0003
Tc	55TRMN	Jeringa		1		0.1		11/12/2020T14:30	0.3238	0.0003
Tc	55TRMN	Jeringa		1		1		11/12/2020T14:32	1.178	0.0007
Tc	55TRMN	JeringaR	10		5		11/12/2020T14:34	4.395	0.0025
Tc	55TRMN	Vial		1		0.1		11/12/2020T14:35	0.3292	0.0003
