RF	EXAM	ActAdm	Actdosi	Vol
Tc	MDP	20      20.9	0.3
Tc	MDP	20	20.8	0.35
Tc	MDP	20	21	0.4
Tc	MDP	20	21	0.4
Tc	MDP	20	22	0.4
Tc	MDP	20	23.7	0.4
Tc	MDP	20	25.4	1.1
Tc	VENTRI	20	23.8	0.2
Tc	VENTRI	20	23.5	0.2
Tc	VENTRI	20	24.4	0.25
Tc	MDP	20	20.1	0.4
Tc	MDP	20	20.5	0.4
Tc	FILTRA	20	20	1
Tc	CENTI	3	3.8	0.3
Tc	CENTI	3	3.4	0.12
Tc	CENTI	3	3.86	0.18
Tc	MDP	20	20	0.2
Tc	MDP	20	20	0.2
Tc	MDP	20	20	0.3
Tc	MDP	20	21	0.3
Tc	MDP	20	22.5	0.3
Tc	MDP	20	22	0.3
Tc	MDP	20	24	0.3
Tc	MDP	20	24	0.4
Tc	CENTI	0.75	0.75	0.1
Tc	FILTRA	3	3	0.3
Tc	FILTRA	3	3	0.1
Tc	VENTRI	20	20.6	0.4
Tc	VENTRI	20	20	0.2
Tc	VENTRI	20	20	1
Tc	VENTRI	20	20	1
Tc	VENTRI	20	21	1
Tc	VENTRI	20	21	1
Tc	VENTRI	20	21	1
Tc	MDP	15	15	0.3
Tc	FILTRA	3	3	1
Tc	FILTRA	3	3	0.2
Tc	FILTRA	3	3	0.2
Tc	FILTRA	3	3	0.2
Tc	FILTRA	3	3.2	0.2
Tc	FILTRA	3	3.2	0.2
Tc	RENO	3	3.2	0.2
Tc	RENO	3	3.3	0.2
Tc	RENO	3	3.3	0.1
Tc	MDP	20	20	0.5
Tc	MDP	20	20	0.5
Tc	MDP	20	20.5	0.5
Tc	VENTRI	20	22.7	1
Tc	VENTRI	20	21.8	0.3
Tc	VENTRI	20	22.5	0.3
Tc	VENTRI	20	25	0.4
Tc	CENTI	0.25	0.27	0.1
Tc	FILTRA	3	3	0.2
Tc	FILTRA	3	3	0.2
Tc	FILTRA	3	3.1	0.12
Tc	FILTRA	3	3.05	0.15
Tc	FILTRA	3	3.05	0.14
Tc	FILTRA	3	3.04	0.14
Tc	RENO	3	3	0.15
Tc	RENO	3	3	0.2
Tc	RENO	3	3	0.2
Tc	RENO	3	3.07	0.14
Tc	MDP	20	20	0.2
Tc	MDP	20	21	0.2
Tc	MDP	20	20.1	0.15
Tc	MDP	20	20.1	0.15
Tc	MDP	20	20	0.3
Tc	MDP	20	20	0.3
Tc	MDP	20	20	0.3
Tc	MDP	20	20	0.3
Tc	MDP	20	19	0.5
Tc	MDP	20	21.9	0.3
Tc	VENTRI	20	20.1	1.5
Tc	VENTRI	20	20	0.5
Tc	VENTRI	20	20	0.1
Tc	VENTRI	20	20	0.2
Tc	FILTRA	3	3.1	0.3
Tc	VENTRI	20	20	0.3
Tc	CENTI	3	4.32	0.2
Tc	MDP	20	20.8	0.25
Tc	MDP	20	20.9	0.25
Tc	MDP	20	20.5	0.25
Tc	MDP	20	21.4	0.25
Tc	MDP	20	22	0.3
Tc	MDP	15	16.52	0.2
Tc	MDP	20	23.3	0.3
Tc	MDP	20	22	0.3
Tc	MDP	25	28.1	0.35
Tc	MDP	25	30.4	0.4
Tc	MDP	20	25.5	0.3
Tc	VENTRI	20	20.3	0.1
Tc	VENTRI	20	20.4	0.1
Tc	VENTRI	20	21.5	0.1
Tc	VENTRI	20	21	0.1
Tc	VENTRI	20	22.5	0.1
Tc	VENTRI	20	21	0.1
Tc	VENTRI	20	23.8	0.1
