CTDIvol	DLP	Tipo	EkV	EmA	skV	smA
3.06	95.85	Pulmonar	100	100	100	10
2.46	81.52	Rastreo		100	120	80	10
1.54	133.66	OSEA		100	42	80	10
1.28	51.75	OSEA		100	40	80	10
1.61	124.08	OSEA		100	79	80	10
1.64	124.44	OSEA		100	79	80	10
1.64	72.27	OSEA		100	79	80	10
1.64	128.74	OSEA		100	79	80	10
3.06	106.33	Pulmonar	100	100	100	10
2.05	89.01	Rastreo		100	100	80	20
2.05	147.32	Rastreo		100	100	80	20
1.64	74.73	OSEA		100	79	80	10
1.64	74.11	OSEA		100	79	80	10
1.57	69.2	OSEA		100	49	80	10
1.64	117.69	OSEA		100	79	80	10
1.64	74.73	OSEA		100	79	80	10
2.46	104.54	Centinela	100	120	80	10
1.18	93.86	OSEA		100	40	80	10
3.06	97.15	Pulmonar	100	100	100	10
14.68	462.53	Tumoral		100	150	80	10
1.64	72.89	OSEA		100	79	80	10
1.64	128.74	OSEA		100	79	80	10
1.64	71.04	OSEA		100	79	80	10
1.57	109.59	OSEA		100	57	80	10
1.41	62.15	OSEA		100	77	80	10
2.46	105.15	Centinela	100	120	80	10
2.46	79.38	Rastreo		100	120	80	10
2.46	103.31	Rastreo		100	120	80	10
2.46	126.02	Rastreo		100	120	80	10
1.64	124.44	OSEA		100	79	80	10
1.64	128.74	OSEA		100	79	80	10
1.63	118.18	OSEA		100	79	80	10
2.46	91.04	Rastreo		100	120	80	10
2.46	105.15	Rastreo		100	120	80	10
2.46	105.15	Rastreo		100	120	80	10
1.29	53.45	OSEA		100	40	80	10
1.5	107.42	OSEA		100	70	80	10
1.64	72.89	OSEA		100	79	80	10
1.64	71.04	OSEA		100	79	80	10
1.64	63.06	OSEA		100	79	80	10
1.64	73.5	OSEA		100	79	80	10
2.05	125.84	Rastreo		100	100	80	20
1.07	64.52	Rastreo		80	74	80	20
2.46	170.22	Rastreo		100	120	80	10
2.46	105.15	Rastreo		100	120	80	10
2.46	78.15	Rastreo		100	120	80	10
1.64	71.04	OSEA		100	79	80	10
1.64	128.74	OSEA		100	79	80	10
1.61	126.97	OSEA		100	73	80	10
1.64	71.04	OSEA		100	79	80	10
1.4	110.07	OSEA		100	71	80	10
4.08	180.73	ROLL		120	120	80	10
1.61	108.2	OSEA		100	79	80	10
1.64	128.74	OSEA		100	79	80	10
1.63	128.1	OSEA		100	71	80	10
3.06	90.26	Pulmonar	100	100	100	10
1.64	128.74	OSEA		100	79	80	10
1.64	128.74	OSEA		100	79	80	10
3.06	105.18	Pulmonar	100	100	100	10
2.46	87.05	Rastreo		100	120	80	10
2.46	71.7	Rastreo		100	120	80	10
2.46	78.15	Rastreo		100	120	80	10
2.46	67.71	Rastreo		100	120	80	10
2.46	112.52	Rastreo		100	120	80	10
2.46	97.18	Rastreo		100	120	80	10
2.46	71.09	Rastreo		100	120	80	10
2.46	74.46	Rastreo		100	120	80	10
1.64	116.47	OSEA		100	79	80	10
1.64	128.74	OSEA		100	79	80	10
1.63	128.58	OSEA		100	77	80	10
1.64	71.04	OSEA		100	79	80	10
1.64	71.04	OSEA		100	79	80	10
3.19	227	OSEA		120	40	80	10
1.64	106.64	OSEA		100	79	80	10
1.58	68.74	OSEA		100	58	80	10
3.06	120.11	Pulmonar	100	100	100	10
4.08	205.71	Rastreo		120	120	80	10
2.46	82.14	Rastreo		100	120	80	10
1.64	128.74	OSEA		100	79	80	10
1.64	108.49	OSEA		100	79	80	10
1.47	115.71	OSEA		100	70	80	10
1.64	116.47	OSEA		100	79	80	10
2.02	187.62	Rastreo		100	100	80	20
1.64	128.74	OSEA		100	79	80	10
1.64	128.74	OSEA		100	79	80	10
2.46	83.67	Rastreo		100	120	80	10
2.46	72.01	Rastreo		100	120	80	10
2.46	80.6	Rastreo		100	120	80	10
2.46	111.29	Rastreo		100	120	80	10
2.46	85.51	Centinela	100	120	80	10
1.64	111.55	OSEA		100	79	80	10
1.63	70.87	OSEA		100	79	80	10
1.49	100.26	OSEA		100	63	80	10
1.64	71.04	OSEA		100	79	80	10
2.46	86.43	Rastreo		100	120	80	10
2.46	125.72	Rastreo		100	120	80	10
2.46	71.7	Rastreo		100	120	80	10
2.46	122.95	Rastreo		100	120	80	10
13.15	894.84	OSEA		120	79	120	10
3.52	100.24	MIBG		120	109	80	20
3.74	327.04	MIBG		120	110	80	20
3.06	102.89	Pulmonar	100	100	100	10
1.64	121.38	OSEA		100	79	80	10
3.67	324.46	HYNIC		120	109	80	20
1.45	55.21	Rastreo		80	120	80	10
2.46	74.16	Centinela	100	120	80	10
2.46	93.49	Rastreo		100	120	80	10
1.64	98.67	OSEA		100	79	80	10
2.46	54.52	Rastreo		100	120	80	10
2.46	110.99	Rastreo		100	120	80	10
1.64	71.04	OSEA		100	79	80	10
1.61	101.03	OSEA		100	79	80	10
1.64	60	OSEA		100	79	80	10
1.64	45.26	OSEA		100	79	80	10
2.46	67.41	Rastreo		100	120	80	10
2.46	79.07	Rastreo		100	120	80	10
1.64	94.37	OSEA		100	79	80	10
1.64	102.96	OSEA		100	79	80	10
2.46	115.28	Centinela	100	120	80	10
3.06	131.59	Pulmonar	100	100	100	10
2.46	75.69	Rastreo		100	120	80	10
2.46	105.15	Rastreo		100	120	80	10
14.8	552.88	Rastreo		120	149	100	10
1.64	113.4	OSEA		100	79	80	10
2.46	62.19	ROLL		100	120	80	10
1.64	128.74	OSEA		100	79	80	10
2.46	105.15	Centinela	100	120	80	10
1.64	109.71	OSEA		100	79	80	10
3.74	289.66	HYNIC		120	110	80	20
