Tiempo ActividadM ActividadCal
0      63.7	  63.7
35     59.5	  59.55
90     53.6	  53.57
192    43.3	  44.01
223    41.6	  41.46
240    40.2	  40.13
271    37.9	  37.80
342    33.1	  32.97
402    29.5	  29.38
435    27.3	  27.57
551    22.2	  22.05
560    21.8	  21.67
579    21	  20.89
1514   3.47	  3.45
1572   3.1	  3.09
1628   2.8	  2.77
1653   2.68	  2.64
1682   2.53	  2.50
1762   2.17	  2.14
1848   1.83	  1.81
1880   1.72	  1.71
1983   1.41	  1.40
2019   1.32	  1.31
2094   1.14	  1.13
3169   0.144	  0.14
3330   0.105	  0.10
