Tiempo ActividadM ActividadCal
0      30.300	  30.300
3      27.400	  27.359
10     21.600	  21.558
15     18.100	  18.185
20     15.200	  15.339
25     12.770	  12.938
30     10.730	  10.914
36     8.970	  8.898
38     8.310	  8.312
49     5.720	  5.716
54     4.830	  4.822
59     4.040	  4.067
64     3.380	  3.431
68     2.980	  2.994
106    0.827	  0.821
112    0.674	  0.670
117    0.565	  0.565
120    0.502	  0.510
131    0.350	  0.351
137    0.281	  0.286
150    0.184	  0.184
154    0.158	  0.160
159    0.134	  0.135
165    0.107	  0.110
176    0.073	  0.076
182    0.062	  0.062
186    0.052	  0.054
