Tiempo ActividadM ActividadCal
0      72.10	  72.10
2      57.3	  57.23
4      45.5	  45.42
6      36.1	  36.05
8      28.6	  28.61
10     22.7	  22.71
12     18.06	  18.03
14     14.33	  14.31
16     11.38	  11.36
18     9.03	  9.01
20     7.17	  7.15
22     5.68	  5.68
24     4.51	  4.51
26     3.58	  3.58
28     2.84	  2.84
30     2.26	  2.25
32     1.78	  1.79
34     1.42	  1.42
36     1.12	  1.13
38     0.894	  0.89
40     0.709	  0.71
42     0.562	  0.56
44     0.445	  0.45
46     0.352	  0.35
48     0.279	  0.28
50     0.221	  0.22
52     0.174	  0.18
54     0.137	  0.14
56     0.108	  0.11
58     0.0855	  0.09
60     0.0672	  0.07
