Tiempo ActividadM ActividadCal
0      83.94	  83.94
60     57.37	  57.47
120    39.34	  39.34
180    26.95	  26.94
240    18.43	  18.44
300    12.64	  12.63
360    8.65	  8.64
420    5.99	  5.92
480    4.12	  4.05
540    2.82	  2.77
600    1.93	  1.90
660    1.32	  1.30
720    0.907	  0.890
780    0.618	  0.609
840    0.423	  0.417
900    0.290	  0.286
960    0.199	  0.196
1020   0.135	  0.134
1080   0.092	  0.092
1140   0.063	  0.063
1200   0.043	  0.043
1260   0.029	  0.029
1320   0.020	  0.020
1380   0.014	  0.014
1400   0.012	  0.012
