Tiempo ActividadM ActividadCal
0      60.212	  60.212
0.5    49.83	  49.821
1      41.222	  41.223
1.5    34.091	  34.109
2      28.177	  28.223
2.5    23.291	  23.352
3      19.289	  19.322
3.5    15.965	  15.988
4      13.184	  13.229
4.5    10.91	  10.946
5      9.032	  9.057
5.5    7.475	  7.494
6      6.19	  6.201
6.5    5.15	  5.130
7      4.248	  4.245
7.5    3.515	  3.513
8      2.905	  2.906
8.5    2.402	  2.405
9      1.984	  1.990
9.5    1.643	  1.646
10     1.359	  1.362
10.5   1.126	  1.127
11     0.929	  0.933
11.5   0.768	  0.772
12     0.637	  0.639
12.5   0.526	  0.528
13     0.434	  0.437
13.5   0.359	  0.362
14     0.297	  0.299
14.5   0.246	  0.248
15     0.202	  0.205
15.5   0.168	  0.170
16     0.138	  0.140
16.5   0.115	  0.116
17     0.094	  0.096
17.5   0.078	  0.079
18     0.064	  0.066
18.5   0.052	  0.054
19     0.043	  0.045
19.5   0.036	  0.037
20     0.029	  0.031
20.5   0.024	  0.026
21     0.019	  0.021
21.5   0.015	  0.017
22     0.012	  0.014
